run,gamma,num_trajectories,max_iters,patience,mean_reward,mean_steps,success_rate,training_time
0,0.9,1000,500,100,-73.174,73.174,1.0,39.487123250961304
1,0.9,1000,500,100,-63.634,63.634,1.0,53.004308462142944
2,0.9,1000,500,100,-66.75,66.75,0.998,39.35292434692383
3,0.9,1000,500,100,-76.714,76.714,0.982,61.24807929992676
4,0.9,1000,500,100,-64.28,64.28,1.0,54.13582158088684
5,0.9,1000,500,100,-65.524,65.524,0.998,40.30077815055847
6,0.9,1000,500,100,-71.654,71.654,0.994,42.21110153198242
7,0.9,1000,500,100,-74.096,74.096,0.996,27.389968633651733
8,0.9,1000,500,100,-68.07,68.07,1.0,38.42006468772888
9,0.9,1000,500,100,-63.914,63.914,1.0,38.47270083427429
